Year,MGResult,MGCountry,MGAthlete,WGResult,WGCountry,WGAthlete,MSResult,MSCountry,MSAthlete,WSResult,WSCountry,WSAthlete,MBResult,MBCountry,MBAthlete,WBResult,WBCountry,WBAthlete
1896,29.15,USA,Bob Garrett,,,,28.95,Greece,Panayiotis Paraskevopoulos,,,,28.78,Greece,Sotiris Versis,,,
1900,36.04,Hungary,Rezsö Bauer,,,,35.25,Bohema,Frantisek Janda-Suk,,,,34.6,USA,Richard Sheldon,,,
1904,39.28,USA,Martin Sheridan,,,,39.28,USA,Ralph Rose,,,,37.68,Greece,Nicolaos Georgantas,,,
1906,41.46,USA,Martin Sheridan,,,,38.06,Greece,Nicolaos Georgantas,,,,36.82,Finland,Verner Järvinen,,,
1908,40.89,USA,Martin Sheridan,,,,40.7,USA,Merritt Giffin,,,,39.445,USA,Bill Horr,,,
1912,45.21,Finland,Armas Taipale,,,,42.32,USA,Leslie Byrd,,,,42.28,USA,James Duncan,,,
1920,44.685,Finland,Elmer Niklander,,,,44.19,Finland,Armas Taipale,,,,42.13,USA,August Pope,,,
1924,46.155,USA,Bud Houser,,,,44.95,Finland,Vilho Niittymaa,,,,44.83,USA,Thomas Lieb,,,
1928,47.32,USA,Bud Houser,39.62,Poland,Halina Konopacka,47.23,Finland,Antero Kivi,37.08,USA,Lillian Copeland,47.1,USA,James Corson,35.92,Sweden,Ruth Svedberg
1932,49.49,USA,John Anderson,40.58,USA,Lillian Copeland,48.47,USA,Henry LaBorde,40.12,USA,Ruth Osborn,47.85,France,Paul Winter,38.74,Poland,Jadwiga Wajsówna
1936,50.48,USA,Ken Carpenter,47.63,Germany,Gisela Mauermayer,49.36,USA,Gordon Dunn,46.22,Poland,Jadwiga Wajsówna,49.23,Italy,Giorgio Oberweger,39.8,Germany,Paula Mollenhauer
1948,52.78,Italy,Adolfo Consolini,41.92,France,Micheline Ostermeyer,51.78,Italy,Giuseppe Tosi,41.17,Italy,Edera Gentile-Cordiale,50.77,USA,Fortune Gordien,40.47,France,Jacqueline Mazéas
1952,55.03,USA,Sim Iness,51.42,Soviet Union,Nina Ponomareva-Romashkova,53.78,Italy,Adolfo Consolini,47.08,Soviet Union,Yelizaveta Bagryantseva,53.28,USA,James Dillion,46.29,Soviet Union,Nina Dumbadze
1956,56.36,USA,Al Oerter,53.69,Czechoslovakia,Olga Fikotová,54.81,USA,Fortune Gordien,52.24,Soviet Union,Irina Beglyakova,54.4,USA,Des Koch,52.02,Soviet Union,Nina Ponomareva-Romashkova
1960,59.18,USA,Al Oerter,55.1,Soviet Union,Nina Ponomareva-Romashkova,58.02,USA,Rink Babka,52.59,Soviet Union,Tamara Press,57.16,USA,Richard Cochran,52.36,Romania,Lia Manoliu
1964,61,USA,Al Oerter,57.27,Soviet Union,Tamara Press,60.52,Czechoslovakia,Ludvík Danek,57.21,Germany,Ingrid Lotz,59.49,USA,David Weill,56.97,Romania,Lia Manoliu
1968,64.78,USA,Al Oerter,58.28,Romania,Lia Manoliu,63.08,East Germany,Lothar Milde,57.76,West Germany,Liesel Westermann,62.92,Czechoslovakia,Ludvík Danek,54.9,Hungary,Jolán Kleiber
1972,64.4,Czechoxlovakia,Ludvík Danek,66.62,Soviet Union,Faina Melnik,63.5,USA,Jay Silvester,54.9,Romania,Argentina Menis,63.4,Sweden,Rickard Bruch,64.34,Bulgaria,Vasilka Stoeva
1976,67.5,USA,Mac Wilkins,69,East Germany,Evelin Jahl-Schlaak,66.22,East Germany,Wolfgang Schmidt,66.62,Bulgaria,Maria Petkova-Vergova,65.7,USA,John Powell,66.84,East Germany,Gabriele Hinzmann
1980,66.64,Soviet Union,Viktor Rashchupkin,69.96,East Germany,Evelin Jahl-Schlaak,66.38,Czechoslovakia,Imrich Bugár,65.06,Bulgaria,Maria Petkova-Vergova,66.32,Cuba,Luis Delis,67.4,Soviet Union,Tatyana Lesovaya
1984,66.6,West Germany,Rolf Danneberg,65.36,Netherlands,Ria Stalman,66.3,USA,Mac Wilkins,64.34,USA,Leslie Deniz,65.46,USA,John Powell,63.64,Romania,Florenta Craciunescu
1988,68.82,East Germany,Jürgen Schult,72.3,East Germany,Martina Hellmann,67.48,URS,Romas Ubartas,69,East Germany,Diana Gansky,67.38,West Germany,Rolf Danneberg,69.74,Bulgaria,Tsvetanka Khristova
1992,65.12,Lithuania,Romas Ubartas,70.06,Cuba,Maritza Martén,64.94,Germany,Jürgen Schult,67.3,Bulgaria,Tsvetanka Khristova,64.12,Cuba,Roberto Moya,66.24,Australia,Daniela Costian
1996,69.4,Germany,Lars Riedel,69.66,Germany,Ilke Wyludda,66.6,Belarus,Vladimir Dubrovshchik,66.84,Russia,Natalya Sadova,65.8,Belarus,Vasiliy Kaptyukh,65.64,Belarus,Elya Zvereva
2000,69.3,Lithuania,Virgilijus Alekna,68.4,Belarus,Elya Zvereva,68.5,Germany,Lars Riedel,69.96,Greece,Anastasia Kelesidou,68.19,South Africa,Frantz Kruger,65.2,Belarus,Irina Yatchenko
2004,69.89,Lithuania,Virgilijus Alekna,67.02,Russia,Natalya Sadova,67.04,Hungary,Zoltan Kovago,67.9,Greece,Anastasia Kelesidou,66.66,Estonia,Aleksander Tammert,66.17,Belarus,Irina Yatchenko
2008,68.82,Estonia,Gerd Kanter,64.74,USA,Stephanie BrownTrafton,67.82,Poland,Piotr Malachowski,63.64,Cuba,Yarelys Barrios,67.79,Lithuania,Virgilijus Alekna,62.59,Ukraine,Olena Antonova
2012,68.27,Germany,Robert Harting,69.11,Crotia,Sandra Perkovic,68.18,Iran,Ehsan Hadadi,67.22,China,Yanfeng Li,68.03,Estonia,Gerd Kanter,66.38,Cuba,Yarelys Barrios
